Name,"Years active","Proven victims","Possible victims"
"Greenawalt, Randy",1974–1978,7,9
"Groves, Vincent",1978–1988,7,20+
"Hittle, Daniel",1973–1989,7,7
"Howell, William Devin",2003,7,7
"Hughes, Michael",1986–1993,7,7+
"Kohlhepp, Todd",2003–2016,7,10+
"Lee, Derrick Todd",1992–2003,7,7+
"Lindsey, William Darrell",1988–1996,7,25
"Malvo, Lee Boyd",2002,7,17
"Mays, Reta",2017–2018,7,8+
"Muhammad, John Allen",2002,7,17
"Reid, Paul Dennis",1997,7,7
"Rogers, Dayton Leroy",1983–1987,7,8+
"Runge, Paul",1995–1997,7,8+
"Snyder, Leroy",1969,7,7
"Surratt, Edward Arthur",1977–1978,7,18+
"Taborsky, Joseph ""Mad Dog""",1950–1957,7,7
"Thomas Jr., John Floyd",1972–1986,7,15+
"Vann, Darren Deon",2013–2014,7,7+
"Wright, Douglas Franklin",1969–1991,7,7+
"Wuornos, Aileen",1989–1990,7,7
"Berdella, Robert",1984–1987,6,6
"Berkowitz, David",1976–1977,6,6
"Biegenwald, Richard",1958–1983,6,11
"Bowles, Gary Ray",1994,6,6+
"Brown, Kenyel",2019–2020,6,6
"Bullock, David",1981–1982,6,6+
"Butler, Eugene",1900–1906,6,6
"Chase, Richard",1977–1978,6,6
"Chavez, Juan",1986–1990,6,6+
"Conde, Rory Enrique",1994–1995,6,6
"Cota, Fernando",1984,6,6
"Cowan, Mary",1884–1894,6,6
"Ervin, Joe Michael",1969–1981,6,6
"Falling, Christine",1980–1982,6,6
"Fayne, Lorenzo",1989–1993,6,6
"Fisher, Constance",1954–1966,6,6
"Gore, David Alan",1981–1983,6,6
"Harris, Robert Wayne",1999–2000,6,6
"Henley, Elmer Wayne",1970–1973,6,8+
"Huntsman, Megan",1996–2006,6,6
"Irvin, Leslie",1954–1955,6,6+
"Jackson, Ray",1989–1990,6,6
"Jennings, Wilbur Lee",1981–1984,6,6+
"Joyner, Anthony",1983,6,18
"Kaprat, Edwin",1991–1993,6,6
"Majors, Orville Lynn",1993–1995,6,130
"Martin, Rhonda Belle",1926–1951,6,6
"Miller, Joseph Robert",1976–1993,6,6+
"Nance, Wayne",1974–1986,6,6+
"Naso, Joseph",1977–1994,6,10
"Ocampo, Itzcoatl",2011–2012,6,6
"Parker, Gerald",1978–1979,6,6
"Prince Jr., Cleophus",1990,6,6
"Rasmussen, Terry Peder",1978–2002,6,6+
"Saldivar, Efren",1988–1998,6,50+
"Sells, Tommy Lynn",1980–1999,6,22+
"Smith, Gayno",1961–1962,6,6
"Solomon Jr., Morris",1986–1987,6,7
"Southard, Lyda",1915–1920,6,6
"Steeves, Richard",1965–1985,6,6
"Sully, Anthony",1983,6,6
"Terry, Michael",1985–1986,6,6
"Toole, Ottis",1976–1983,6,6+
"Ture Jr., Joseph",1978–1980,6,7+
"Van Dyke, David",1979–1980,6,6
"Walker, Anthony Guy",1975–1986,6,6+
"White, Nathaniel",1991–1992,6,6
"Wood, David Leonard",1987,6,9
"Armstrong, John Eric",1992–1999,5,18
"Avalos, Johnny",2012–2015,5,5
"Bishop, Arthur Gary",1979–1983,5,5
"Bittaker, Lawrence",1979,5,5
"Bloomfield, Clifton",2005–2008,5,5
"Brown, Raymond Eugene",1960–1987,5,5
"Bunday, Thomas",1979–1981,5,6
"Burkett, Nathaniel",1978–2002,5,5+
"Chester, Elroy",1997–1998,5,5
"Childs, Terry",1979–1985,5,12
"Cooper, Samuel",2006–2007,5,5
"Copeland, Faye",1986–1989,5,12
"Copeland, Ray",1986–1989,5,12
"Cox, Scott William",1980s–1990,5,20+
"Creech, Thomas Eugene",1974–1981,5,42
"Cunanan, Andrew",1997,5,5
"Dennis, Jerome",1991–1992,5,5
"Dillon, Thomas",1989–1992,5,5+
"Duncan, Joseph Edward",1996–2005,5,7
"Edwards, Edward",1977–1996,5,15
"Engleman, Glennon",1958–1980,5,7+
"Evans, Gary",1985–1997,5,5
"Fautenberry, John",1990–1991,5,6
"Fountain, Clayton Anthony",1974–1983,5,5
"Geralds, Hubert",1994–1995,5,5
"Gibbs, Janie Lou",1966–1967,5,5
"Giles, Bernard",1973,5,5
"Graham, Gwendolyn",1987,5,6
"Grate, Shawn",2006–2016,5,5
"Hahn, Anna Marie",1933–1937,5,5
"Hampton, T. J.",1887–1893,5,5
"Hankins, Terry",2000–2001,5,5
"Harrison, Lester",1951–1973,5,7
"Hernandez, Alexander",2014,5,5
"Hill, Walter",1952–1977,5,5
"Honken, Dustin Lee",1993,5,5
"Hopewell, Raymont",1999–2005,5,5
"Hoyt, Waneta",1965–1971,5,5
"Jablonski, Phillip Carl",1978–1991,5,5
"Jackson, William Perry",1980,5,5
"Jennings, Desmond Domnique",1993,5,20
"Johnson, Vincent",1999–2000,5,5
"Jones, Andre Vernell",1978–1979,5,8
"Kadamovas, Jurijus",2001–2002,5,5
"Kirkland, Anthony",1987–2009,5,6
"Klimek, Tillie",1914–1921,5,7
"Knapp, Alfred",1894–1902,5,5+
"Knighton, Robert Wesley",1973–1990,5,5
"Mansfield, Billy",1975–1980,5,5+
"Mason, David",1980–1982,5,6
"Maust, David Edward",1974–2003,5,5
"McCray, Jeremiah",1956–1958,5,5
"McKnight, Anthony",1985,5,5
"Meach, Charles L.",1973–1982,5,5
"Metheny, Joe",1976–1996,5,10
"Mikhel, Iouri",2001–2002,5,5
"Miller, Donald",1977–1981,5,5
"Miller, Joseph Daniel",1986–1990,5,5+
"Morris, Cory",2002–2003,5,5+
"Muehlberg, Gary",1990–1993,5,6+
"Nemechek, Francis",1974–1976,5,5
"Norris, Roy",1979,5,5
"Panzram, Carl",1920–1929,5,22
"Patton, Carl",1973–1977,5,5
"Penton, David Elliott",1984–1988,5,9+
"Powers, Harry",1931,5,5+
"Pruett, Marion Albert",1981,5,5
"Red Dog, James Allen",1973–1991,5,5
"Rees, Melvin",1957–1959,5,9+
"Rembert, Robert",1997–2015,5,5+
"Rissell, Montie",1976–1977,5,5
"Ritchie, James Dale",2016,5,5+
"Saenz, Kimberly Clark",2008,5,10+
"Shulman, Robert",1991–1996,5,5
"Sims, Ray Dell",1974–1977,5,5+
"Smith, Lemuel",1958–1981,5,6
"Soper, Edward Bates",1880–1897,5,5
"Villarreal, David",1979–1981,5,7
"Wade, Joshua",1994–2007,5,5+
"Walton, Edward",1896–1908,5,5
"Walls, Frank Athen",1985–1987,5,5
"Wardrip, Faryion",1984–1986,5,5
"Wood, Cathy",1987,5,6
"Wood, Frederick Charles",1926–1960,5,5
"Ables, Tony",1970–1990,4,4+
"Allen, Herman",1930–1942,4,4
"Allen, Quincy",2002,4,4
"Alston, Robert Sylvester",1991–1993,4,6
"Anderson, Joshua",2006–2007,4,5
"Angelo, Richard",1987,4,10
"Arguelles, Roberto",1992,4,4+
"Balaam, Anthony",1994–1996,4,4
"Baldi, Joseph",1970–1972,4,4
"Barber, Danny",1977–1979,4,4
"Barone, Cesar",1991–1993,4,4+
"Bell, Cimarron",2003–2004,4,4
"Biehler, Robert",1966–1973,4,4
"Bolin, Oscar Ray",1986–1987,4,4+
"Bolsinger, John Charles",1980–1988,4,4
"Bounds, Dallen",1999,4,4+
"Brandt, Charlie",1971–2004,4,7+
"Brant, Joe",2007–2008,4,4+
"Brudos, Jerry",1968–1969,4,4+
"Burkhart, Timothy",1986–2001,4,4+
"Cable, James Ray",1977–1989,4,6+
"Cannon, Patty",1802–1829,4,25+
"Caputo, Ricardo",1971–1977,4,6
"Carr, Robert Frederick",1972–1976,4,4
"Chandler, Oba",1989–1990,4,4+
"Christensen, William Dean",1982–1983,4,10+
"Christiansen, Thor Nis",1976–1979,4,4
"Clark, Vernon Lee",1980–1989,4,6+
"Clement, Mary",1880–1885,4,4
"Coffman, Cynthia",1986,4,4
"Costa, Tony",1968–1969,4,8
"Craine, Louis",1984–1987,4,5+
"Crump, Thomas Wayne",1980–1982,4,7
"Curry, James Richard",1982–1983,4,5
"Daniels, James Edward",1963–1984,4,4
"Davis, Girvies",1978–1979,4,9+
"Davis, William George",2017–2018,4,7
"Donaldson, Howell",2017,4,4
"Edwards, Andrew David",1987–1992,4,4
"Eichinger, John",1999–2005,4,4
"Ewell, John",2010,4,4
"Fitzsimmons, George",1969–1973,4,4
"Ford, Wayne Adam",1997–1998,4,4+
"Garcia, Anthony",2008–2013,4,4
"Gary, Carlton",1970–1978,4,8+
"Gilbert, Kristen",1989–1996,4,4+
"Goble, Sean Patrick",1994–1995,4,4+
"Gordon, Steven Dean",2013–2014,4,5
"Grant, Gary",1969–1971,4,4
"Grant, Waldo",1973–1976,4,4+
"Gray, Ronald",1986–1987,4,4
