cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree,pos_score,neg_score,polarity
grime,85.0,0,5,0,6,0,3,2,0.0,0,4,0.5236180128229215,n v,0.2765957446808511,True,,94.0,0.02127659574468085,0.6914893617021277,0.16489361702127658
grin,82.0,0,1,0,1,0,2,3,0.0,0,1,0.0407787673927656,n v,0.0,True,,97.0,0.0,0.0,0.5
grind,51.0,0,1,0,1,0,2,2,0.0,0,0,0.0368808328004813,n v,0.0,True,,92.0,0.0,0.0,0.5
grinder,54.0,0,2,0,1,0,2,2,0.0,0,0,0.089999850393958,n,0.021505376344086,True,,93.0,0.0,0.021505376344086023,0.489247311827957
grinding,45.0,0,0,0,0,0,0,0,0.0,0,0,0.0323029569245234,n v,0.0,True,,93.0,0.0,0.0,0.5
grip,76.0,0,0,0,0,0,7,0,0.0,0,1,0.0629394946368077,n v,0.0,True,,99.0,0.0,0.0,0.5
grit,70.0,0,3,0,2,0,5,2,0.0,0,2,0.1177086546341096,n v,0.0204081632653061,True,,98.0,0.0,0.1326530612244898,0.4336734693877551
grizzly,85.0,0,0,0,0,0,0,1,0.0,0,0,0.0474933003504432,n s,0.0,True,,99.0,0.0,0.0,0.5
groan,81.0,0,1,0,2,0,0,4,0.0,0,1,0.2725541149400525,n v,0.134020618556701,True,,97.0,0.0,0.13402061855670103,0.4329896907216495
grocery,154.0,0,0,0,2,0,4,0,0.0,0,0,0.2975591376636613,n,0.2462311557788944,True,,199.0,0.24623115577889448,0.0,0.6231155778894473
grocery store,63.0,0,0,0,1,0,3,0,0.0,0,0,0.0534901731245347,,0.0,True,,100.0,0.0,0.0,0.5
groin,62.0,0,1,0,5,0,0,2,0.0,0,1,0.1761653472714265,n v,0.0888888888888888,True,,90.0,0.0,0.07777777777777778,0.46111111111111114
groom,73.0,0,1,0,1,0,2,0,0.0,0,0,0.128974171517244,n v,0.0,True,,98.0,0.061224489795918366,0.0,0.5306122448979592
groove,45.0,0,1,0,2,0,0,0,0.0,0,1,0.0588466091824863,n v,0.03,True,,100.0,0.03,0.0,0.515
grope,68.0,0,3,0,9,0,4,1,0.0,0,3,0.2746749497491716,n v,0.1720430107526881,True,,93.0,0.0,0.15053763440860216,0.42473118279569894
gross,84.0,34,6,34,6,0,8,5,34.0,0,5,0.5386384989893342,a n v s,0.2886597938144329,True,,97.0,0.0,0.25773195876288657,0.3711340206185567
grotesque,63.0,0,3,0,4,0,4,3,0.0,0,1,0.2099333519388393,n s,0.1313131313131313,True,,99.0,0.0,0.13131313131313133,0.43434343434343436
ground,115.0,0,4,0,3,0,7,0,0.0,0,4,0.0850812922362868,n v,0.0357142857142857,True,,196.0,0.025510204081632654,0.05612244897959184,0.4846938775510204
grounded,51.0,0,1,0,2,0,3,1,0.0,0,3,0.220082038254243,v,0.17,True,,100.0,0.04,0.18,0.43
groundhog,25.0,0,1,0,1,0,1,0,0.0,0,1,0.0379841838884798,n,0.0,True,,96.0,0.0,0.0,0.5
group,76.0,42,7,42,6,0,3,0,0.0,42,4,0.2750725824817942,n v,0.13,True,,100.0,0.13,0.03,0.55
grove,14.0,0,0,0,0,0,0,1,0.0,0,0,0.0109065334442218,n,0.0,True,,91.0,0.0,0.0,0.5
grow,53.0,0,1,0,3,0,4,1,0.0,0,1,0.0652825211918176,v,0.03,True,,100.0,0.03,0.0,0.515
growing,52.0,0,1,0,3,0,3,2,0.0,0,2,0.1760181583744879,a n v,0.11,True,,100.0,0.1,0.0,0.55
growl,59.0,0,0,0,0,0,2,0,0.0,0,1,0.0203695713792374,n v,0.0,True,,99.0,0.0,0.0,0.5
grown,48.0,0,0,0,0,0,4,0,0.0,0,0,0.0158177367358397,s v,0.0,True,,97.0,0.020618556701030927,0.0,0.5103092783505154
grown up,92.0,0,0,0,0,0,2,0,0.0,0,0,0.0229005751287876,,0.0,True,,100.0,0.02,0.0,0.51
grown-ups,90.0,0,0,0,1,0,1,0,0.0,0,0,0.0333036265531172,,0.0,True,,99.0,0.050505050505050504,0.0,0.5252525252525253
growth,64.0,0,0,0,2,0,2,0,0.0,0,0,0.051919317639406,n,0.02,True,,100.0,0.04,0.0,0.52
grub,76.0,0,1,0,1,0,2,1,0.0,0,1,0.0920550745829211,n v,0.0,True,,93.0,0.0,0.0,0.5
