cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree
modest,51.0,0,3,0,4,23,8,3,0.0,0,5,0.09745080911609061,s a,0.061855670103092786,True,,97.0
modesty,50.0,35,8,35,9,0,10,7,0.0,35,8,0.1612109695169448,n,0.09,True,,100.0
modification,80.0,0,0,0,2,0,1,0,0.0,0,0,0.03705044182621502,n,0.0,True,,100.0
modify,91.0,0,0,0,0,0,2,0,0.0,0,0,0.04222365226002928,v,0.0,True,,100.0
moisture,11.0,0,2,0,0,0,0,0,0.0,0,1,0.007013897330305458,n,0.0,True,,100.0
moisturizer,9.0,0,0,0,1,0,0,1,0.0,0,1,0.005051514134230581,,0.0,True,,100.0
molasses,13.0,0,0,0,1,0,0,0,0.0,0,0,0.0038474647143534315,n,0.0,True,,86.0
mold,39.0,0,5,0,6,0,5,4,0.0,0,5,0.10391487550592841,n v,0.07608695652173914,True,,92.0
mole,42.0,0,3,0,3,0,2,2,0.0,0,0,0.020416383196095844,n,0.0,True,,97.0
molecular,39.0,0,0,0,0,0,1,0,0.0,0,0,0.01820088641517213,a,0.0,True,,98.0
molecule,29.0,0,0,0,1,0,1,0,0.0,0,0,0.014076778021780955,n,0.0,True,,100.0
mollusk,15.0,0,0,0,0,0,0,0,0.0,0,0,0.0030337078651685393,n,0.0,True,,89.0
molten,2.0,0,0,0,0,0,1,0,0.0,0,0,0.0003724285332620892,s v,0.0,True,,95.0
mom,83.0,0,1,0,3,0,2,2,0.0,0,0,0.029455048835589026,n,0.0,True,,98.0
moment,45.0,0,0,0,1,0,0,0,0.0,0,0,0.008413338325491876,n,0.0,True,,100.0
momentum,48.0,0,0,0,0,0,1,0,0.0,0,0,0.018713127385270402,n,0.0,True,,100.0
mommy,41.0,12,1,0,2,0,1,1,0.0,0,0,0.01264307358933583,n,0.0,True,,100.0
monarch,57.0,6,0,0,2,0,0,0,0.0,0,0,0.018366445062873635,n,0.0,True,,98.0
